id,title,field_blue,field_red,author
1,Bulbasaur,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.",5
2,Ivysaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.,5
3,Venussaur,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.,5
4,Charmander,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.","From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.",6
5,Charmeleon,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.","If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.",6
6,Charizard,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",6
7,Squirtle,"When it retracts its long neck into its shell, it squirts out water with vigorous force.","When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.",7
8,Wartortle,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old.",It cleverly controls its furry ears and tail to maintain its balance while swimming.,7
9,Blastoise,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.,7
10,Articuno,"It’s said that this Pokémon’s beautiful blue wings are made of ice. Articuno flies over snowy mountains, its long tail fluttering along behind it. ",This Pokémon can control ice at will. Articuno is said to live in snowy mountains riddled with permafrost.,5
11,Zapdos,This Pokémon has complete control over electricity. There are tales of Zapdos nesting in the dark depths of pitch-black thunderclouds.,"Zapdos is a legendary bird Pokémon. It’s said that when Zapdos rubs its feathers together, lightning will fall immediately after.",6
12,Moltres,"It’s one of the legendary bird Pokémon. When Moltres flaps its flaming wings, they glimmer with a dazzling red glow.","There are stories of this Pokémon using its radiant, flame-cloaked wings to light up paths for those lost in the mountains.",7
13,Chikorita,"In battle, Chikorita waves its leaf around to keep the foe at bay. ","A sweet fragrance wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around.",5
14,Bayleef,Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree.,The fragrance of this shoot makes people peppy.,5
15,Meganium,The fragrance of Meganium’s flower soothes and calms emotions.,"In battle, this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit.",5
16,Cyndaquil,Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry.,"If it is tired, the flames splutter fitfully with incomplete combustion.",6
17,Quilava,Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air.,This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.,6
18,Typhlosion,Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames.,This Pokémon creates blazing explosive blasts that burn everything to cinders.,6
19,Totodile,"Despite the smallness of its body, Totodile’s jaws are very powerful.","While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury.",7
20,Croconaw,"Once Croconaw has clamped its jaws on its foe, it will absolutely not let go.","Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in.",7
21,Feraligatr,Feraligatr intimidates its foes by opening its huge mouth.,"In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.",7
